2940 0.00440582 34 99960
2950 0.00449199 33 97350
2960 0.00494632 33 97680
2970 0.0048521 33 98010
2980 0.00500516 33 98340
2990 0.00489563 33 98670
3000 0.00459452 33 99000
3010 0.00424296 33 99330
3020 0.00445215 33 99660
3030 0.00457913 33 99990
3040 0.00455444 32 97280
3050 0.00431451 32 97600
3060 0.00443391 32 97920
3070 0.00429559 32 98240
3080 0.00469796 32 98560
3090 0.00474745 32 98880
3100 0.00445344 32 99200
3110 0.00447174 32 99520
3120 0.00475877 32 99840
3130 0.00492583 31 97030
3140 0.00478473 31 97340
3150 0.004804 31 97650
3160 0.00483976 31 97960
3170 0.00484567 31 98270
3180 0.00502275 31 98580
3190 0.00449045 31 98890
3200 0.00436724 31 99200
3210 0.0041966 31 99510
3220 0.00417408 31 99820
3230 0.00412115 30 96900
3240 0.00446902 30 97200
3250 0.00469323 30 97500
3260 0.00500615 30 97800
3270 0.00499595 30 98100
3280 0.00533385 30 98400
3290 0.0051145 30 98700
3300 0.00508047 30 99000
3310 0.00491481 30 99300
3320 0.00474655 30 99600
3330 0.00462961 30 99900
3340 0.00475134 29 96860
3350 0.00482846 29 97150
3360 0.00440886 29 97440
3370 0.00446887 29 97730
3380 0.00446053 29 98020
3390 0.00469674 29 98310
3400 0.00436242 29 98600
3410 0.00448298 29 98890
3420 0.00417336 29 99180
3430 0.00454648 29 99470
3440 0.00484237 29 99760
3450 0.0051187 28 96600
3460 0.005033 28 96880
3470 0.00490602 28 97160
3480 0.00482767 28 97440
3490 0.00468216 28 97720
3500 0.00470541 28 98000
3510 0.00487876 28 98280
3520 0.00483747 28 98560
3530 0.00482852 28 98840
3540 0.00460062 28 99120
3550 0.00468572 28 99400
3560 0.00497904 28 99680
3570 0.00501279 28 99960
3580 0.00495104 27 96660
3590 0.00492118 27 96930
3600 0.00523533 27 97200
3610 0.00452948 27 97470
3620 0.00451519 27 97740
3630 0.00499813 27 98010
3640 0.00553952 27 98280
3650 0.0055454 27 98550
3660 0.00466785 27 98820
3670 0.00476318 27 99090
3680 0.00431294 27 99360
3690 0.00447408 27 99630
3700 0.00456334 27 99900
3710 0.00447937 26 96460
3720 0.00440635 26 96720
3730 0.004732 26 96980
3740 0.00480939 26 97240
3750 0.00452641 26 97500
3760 0.00469064 26 97760
3770 0.00457348 26 98020
3780 0.00442417 26 98280
3790 0.00446296 26 98540
3800 0.00473374 26 98800
3810 0.00501376 26 99060
3820 0.00482323 26 99320
3830 0.00504299 26 99580
3840 0.00481105 26 99840
3850 0.00514958 25 96250
3860 0.00523607 25 96500
3870 0.00492862 25 96750
3880 0.00452973 25 97000
3890 0.00458589 25 97250
3900 0.00449024 25 97500
3910 0.00448743 25 97750
3920 0.00448598 25 98000
3930 0.00432879 25 98250
3940 0.00438252 25 98500
3950 0.00480416 25 98750
3960 0.00483968 25 99000
3970 0.00495997 25 99250
3980 0.0049362 25 99500
3990 0.00464807 25 99750
4000 0.00466731 25 100000
4010 0.00485506 24 96240
4020 0.00474532 24 96480
4030 0.00462892 24 96720
4040 0.00456801 24 96960
4050 0.00498529 24 97200
4060 0.00513455 24 97440
4070 0.00490787 24 97680
4080 0.00469846 24 97920
4090 0.00465811 24 98160
4100 0.0048425 24 98400
4110 0.0048932 24 98640
4120 0.00502147 24 98880
4130 0.00464967 24 99120
4140 0.0047079 24 99360
4150 0.00477049 24 99600
4160 0.00465484 24 99840
4170 0.00476221 23 95910
4180 0.00490584 23 96140
4190 0.00473312 23 96370
4200 0.0049509 23 96600
4210 0.00476526 23 96830
4220 0.00502318 23 97060
4230 0.0046829 23 97290
4240 0.00472271 23 97520
4250 0.00420186 23 97750
4260 0.00408762 23 97980
4270 0.00418509 23 98210
4280 0.00439737 23 98440
4290 0.00420548 23 98670
4300 0.00434387 23 98900
4310 0.00411573 23 99130
4320 0.00396692 23 99360
4330 0.00407141 23 99590
4340 0.00422073 23 99820
4350 0.00447906 22 95700
4360 0.00455965 22 95920
4370 0.00457899 22 96140
4380 0.00496306 22 96360
4390 0.00479928 22 96580
4400 0.00492159 22 96800
4410 0.00493785 22 97020
4420 0.00489506 22 97240
4430 0.00506248 22 97460
4440 0.00511286 22 97680
4450 0.0056822 22 97900
4460 0.00546655 22 98120
4470 0.00561591 22 98340
4480 0.00547914 22 98560
4490 0.00534939 22 98780
4500 0.00525245 22 99000
4510 0.00511236 22 99220
4520 0.00537876 22 99440
4530 0.00544294 22 99660
4540 0.00521202 22 99880
4550 0.00525475 21 95550
4560 0.00524313 21 95760
4570 0.00526145 21 95970
4580 0.00485378 21 96180
4590 0.00479755 21 96390
4600 0.00501218 21 96600
4610 0.0047786 21 96810
4620 0.0049253 21 97020
4630 0.00562507 21 97230
4640 0.00515968 21 97440
4650 0.00501472 21 97650
4660 0.004999 21 97860
4670 0.00534983 21 98070
4680 0.00516787 21 98280
4690 0.00497877 21 98490
4700 0.00480543 21 98700
4710 0.00460552 21 98910
4720 0.00461505 21 99120
4730 0.00469532 21 99330
4740 0.00484073 21 99540
4750 0.00455026 21 99750
4760 0.00474224 21 99960
4770 0.00483425 20 95400
4780 0.0046553 20 95600
4790 0.00429989 20 95800
4800 0.00436688 20 96000
4810 0.00410097 20 96200
4820 0.0040979 20 96400
4830 0.00417193 20 96600
4840 0.00443777 20 96800
4850 0.00457641 20 97000
4860 0.00469126 20 97200
4870 0.00491344 20 97400
4880 0.00437945 20 97600
4890 0.0043541 20 97800
4900 0.0043263 20 98000
4910 0.00433445 20 98200
4920 0.00436304 20 98400
4930 0.0042024 20 98600
4940 0.00424449 20 98800
4950 0.00420287 20 99000
4960 0.00419952 20 99200
4970 0.00432921 20 99400
4980 0.00454937 20 99600
4990 0.00459996 20 99800
5000 0.00469767 20 100000
